# IDLE
12811	185	120	200	135	0
12821	245	120	260	135	0
12831	155	120	170	135	0
12841	275	120	290	135	0

######################## RACOON ######################
# IDLE LEFT
14111	180	633	205	664	0

# IDLE RIGHT
14121	241	633	266	664	0

# WALK LEFT
14211	150	633	175	664	0
14212	120	633	145	664	0

# WALK RIGHT
14221	271	633	296	664	0
14222	301	633	326	664	0

# RUN LEFT
14311	1295	141	1320	170	0
14312	1268	141	1293	170	0
14313	1241	141	1266	170	0

# RUN RIGHT
14321	359	141	384	170	0
14322	386	141	411	170	0
14323	413	141	438	170	0

# JUMP WALK LEFT & RIGHT
14411	1400	141	1423	170	0
14412	257	141	280	170	0

# SIT LEFT & RIGHT 
14510	1135	151	1158	170	0
14520	521	151	544	170	0

# BRACE LEFT & RIGHT
14610	4	633	23	664	0
14620	424	633	443	664	0

# KICK LEFT & RIGHT
14710	1016	141	1039	170	0
14720	640	141	663	170	0

# HOLD LEFT
14811	1093	141	1114	170	0
14812	1067	141	1090	170	0
14813	1042	141	1065	170	0

# HOLD RIGHT
14821	566	141	587	170	0
14822	589	141	612	170	0
14823	615	141	638	170	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100


#KICK LEFT & RIGHT
1031	11711	500
1041	11721	500

#HOLDING LEFT & RIGHT
# IDLE
1051	11731	100
1052	11741	100

# WALK
1061	11731	100	11751	100
1062	11732	100	11761	100

# RUN
1071	11731	100	11751	100	11752	100
1072	11741	100	11761	100	11762	100
#TRANSFORM TO SMALL
1011	11111	50	14011	50	11111	50	14011	50	11111	50	14011	50	12111	50	14011	50	12111	1000
1021	11121	50	14021	50	11121	50	14021	50	11121	50	14021	50	12121	50	14021	50	12121	1000

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#KICK LEFT & RIGHT
1711	12711	500
1721	12721	500

#HOLDING LEFT & RIGHT
1731	12811	100
1741	12821	100
1751	12811	100	12831	100
1761	12821	100	12841	100
1771	12811	50	12831	50
1781	12821	50	12841	50

#TRANSFORM TO BIG
1700	12111	50	14011	50	12111	50	14011	50	12111	50	14011	50	11111	50	14011	50	11111	1000
######################## RACOON ######################

# IDLE
2100	14111	100
2101	14121	100

# WALK LEFT & RIGHT 
2200	14111	100	14211	100	14212	100
2201	14121	100	14221	100	14222	100

# RUN LEFT & RIGHT
2300	14311	20	14312	20	14313	20
2301	14321	20	14322	20	14323	20

# BRACE LEFT & RIGHT
2400	14610	100
2401	14620	100

# JUMP WALK UP
2500	14411	100
2501	14412	100

# JUMP WALK DOWN
2550	14921	100
2551	14923	100

# JUMP RUN UP
2600	14423	100
2601	14426	100

# JUMP RUN DOWN
2650	14421	100
2651	14424	100

# SIT LEFT & RIGHT
2700	14510	100
2701	14520	100


# KICK LEFT & RIGHT
2800	14710	100
2801	14720	100

# HOLD IDLE LEFT & RIGHT
3000	14811	100
3001	14821	100

# HOLD RUN LEFT & RIGHT
3010	14811	100	14812	100	14813	100
3011	14821	100	14822	100	14823	100

# HOLD JUMP LEFT & RIGHT
3020	14813	100
3021	14823	100
